1,-1,-1,-1,1,1,1,-1,-1,1,-1,1,1,-1,1.974658
1,-1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,2.078034
-1,-1,1,1,-1,-1,1,1,-1,1,-1,1,-1,1,1.683842
-1,1,-1,1,-1,1,1,1,-1,1,-1,-1,-1,1,2.135365
1,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,1,2.055985
-1,1,-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1.652274
-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1.784080
1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,1,2.408796
1,-1,1,-1,1,-1,1,-1,-1,1,1,-1,-1,1,1.172531
-1,1,-1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1.668656
1,-1,-1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1.862843
1,1,-1,-1,1,-1,-1,1,-1,-1,1,1,1,-1,2.282455
-1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,-1,1.722611
-1,1,1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,2.098620
-1,1,-1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1.851576
-1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,-1,1.457757
1,-1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1,1.754378
1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,2.403343
1,-1,-1,1,-1,-1,1,1,-1,-1,1,1,1,-1,2.119811
1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1.515723
-1,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,2.308110
1,1,-1,-1,1,-1,-1,1,1,-1,-1,-1,1,1,2.373395
-1,1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1.125780
1,-1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,2.073185
1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,-1,2.299237
1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1.797976
-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,-1,2.482788
-1,-1,1,1,1,-1,1,-1,1,1,-1,-1,1,-1,2.084087
-1,1,-1,1,1,-1,-1,1,-1,1,1,1,-1,-1,1.853284
-1,-1,1,-1,1,1,-1,-1,1,1,1,-1,1,-1,2.353725
1,-1,1,-1,1,1,-1,-1,1,-1,1,1,-1,-1,1.700320
1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,1.280574
-1,-1,1,-1,1,1,-1,1,1,-1,-1,1,1,-1,2.052249
-1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,1,1.673363
-1,1,1,-1,-1,-1,1,1,-1,1,-1,1,1,-1,1.723307
-1,1,-1,-1,1,-1,1,1,-1,1,1,-1,1,-1,1.741197
1,-1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1.112613
1,-1,1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1.125819
-1,1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1.763325
1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,1.927470
1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1,1.788499
-1,1,1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,2.068693
-1,-1,1,1,-1,1,-1,-1,1,1,-1,-1,1,1,2.296779
-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1.748299
1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1.850328
-1,1,1,-1,1,-1,-1,1,1,-1,1,-1,1,-1,1.209774
1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,1.425670
-1,-1,1,1,1,-1,1,-1,-1,1,-1,1,1,-1,1.884906
1,-1,-1,1,1,-1,-1,-1,1,1,1,-1,-1,1,2.065007
-1,-1,1,1,-1,1,1,-1,-1,1,-1,1,-1,1,1.581913
-1,1,-1,-1,1,-1,1,1,-1,1,1,1,-1,-1,2.444263
1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,0.924566
1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,1.190029
-1,1,-1,1,1,1,-1,-1,1,-1,1,1,-1,-1,2.019824
1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,2.721138
1,-1,1,-1,1,1,-1,1,1,-1,-1,-1,1,-1,2.609449
1,1,-1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1.212059
-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,1,2.195388
1,-1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,2.592995
1,-1,1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,0.947088
1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,-1,1,1.358748
-1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,1,2.344929
-1,1,1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,1.854068
-1,1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1.396802
